,event_date,year,event_type,sub_event_type,actor1,actor2,interaction,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities,timestamp,population_1km,population_2km,population_5km,population_best,nrEvents,category
10,2024-01-29,2024,Riots,Violent demonstration,Rioters (Haiti),,Rioters only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,Alterpresse; SG Alert (Whatsapp),"On 29 January 2024, in Petit-Goave, Ouest, residents held a demonstration demanding the departure of Prime Minister, Ariel Henry. Burning tires were erected to block the Route Nationale #2. Although there is no information on the circumstances of the roadblock, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1708988311,18237.0,49361.0,67303.0,49361.0,1,2024
11,2024-02-01,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Artibonite,Gonaives,Ennery,Ennery,19.4846,-72.485,SG Alert (Whatsapp),"Other: On 1 February 2024, in Ennery, Artibonite, a roadblock was set up on the Route Nationale #1. There is no information on the circumstances of the roadblock or who set it up.",0,1759789823,7675.0,10858.0,18628.0,,1,2024
12,2024-02-06,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Artibonite,Marmelade,Saint Michel de l'Atalaye,Saint-Michel-de-l'Atalaye,19.3708,-72.3347,SG Alert (Whatsapp),"On 6 February 2024, in Saint-Michel-de-l'Atalaye, Artibonite, people held a protest and closed several offices. Although there is no information on the circumstances of the mobilization, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1708988311,11886.0,27654.0,39092.0,11886.0,1,2024
13,2024-02-01,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord,Saint Raphael,Dondon,Dondon,19.5274,-72.2442,SG Alert (Whatsapp),"Other: On 1 February 2024, in Dondon, Nord, a roadblock was set up on the Route Nationale #3. There is no information on the circumstances of the roadblock or who set it up.",0,1708988311,6928.0,10919.0,25082.0,,1,2024
14,2024-02-01,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord,Saint Raphael,Saint Raphael,Saint-Raphael,19.4393,-72.1994,SG Alert (Whatsapp),"Other: On 1 February 2024, in Saint-Raphael, Nord, a roadblock was set up on the Route Nationale #3. There is no information on the circumstances of the roadblock or who set it up.",0,1708988311,10472.0,16426.0,29760.0,,1,2024
15,2024-02-01,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Vialet,18.4194,-72.9333,SG Alert (Whatsapp),"On 1 February 2024, near Vialet, Ouest, an anti-government demonstration took place on the Route Nationale #2 which was blocked between Petit-Goave and Vialet. Although there is no information on the circumstances of the roadblock or who set it up, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1708988312,4999.0,10885.0,25760.0,4999.0,1,2024
16,2024-02-04,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Vialet,18.4194,-72.9333,SG Alert (Whatsapp),"Other: On 4 February 2024, in Vialet, Ouest, a roadblock was set up on the Route Nationale #2. There is no information on the circumstances of the roadblock or who set it up.",0,1708988312,4999.0,10885.0,25760.0,,1,2024
17,2024-02-07,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Nord-Ouest,Mole Saint Nicolas,Jean Rabel,Jean-Rabel,19.8557,-73.1924,SG Alert (Whatsapp),"On 7 February 2024, in Jean-Rabel, Nord-Ouest, people held a demonstration and roadblocks were set. Although there is no information on the circumstances of the barricades or who set them up, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1709590326,6188.0,11847.0,29902.0,6188.0,1,2024
18,2024-02-07,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Nord-Ouest,Saint Louis Du Nord,Saint Louis du Nord,Saint-Louis du Nord,19.9334,-72.7209,SG Alert (Whatsapp),"On 7 February 2024, in Saint-Louis du Nord, Nord-Ouest, people held a demonstration and roadblocks were set. Although there is no information on the circumstances of the barricades or who set them up, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1760471015,13329.0,39831.0,83022.0,13329.0,1,2024
19,2024-02-10,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Vialet,18.4194,-72.9333,SG Alert (Whatsapp),"Other: On 10 February 2024, in Vialet, Ouest, roadblocks were set up on the Route Nationale #2. There is no information on the circumstances of the roadblocks or who set them up.",0,1709590326,4999.0,10885.0,25760.0,,1,2024
20,2024-02-08,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Sud-Est,Jacmel,Marigot,Marigot,18.2317,-72.3229,SG Alert (Whatsapp),"On 8 February 2024, in Marigot, Sud-Est, people held a demonstration and roadblocks were set. Although there is no information on the circumstances of the roadblock or who set it up, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1709590326,4719.0,6917.0,27344.0,4719.0,1,2024
21,2024-02-26,2024,Strategic developments,Other,Unidentified Armed Group (Haiti),,Political militia only,332,Caribbean,Haiti,Nord-Est,Trou Du Nord,Trou du Nord,Trou-du-Nord,19.6166,-72.0244,SG Alert (Whatsapp),"Other: On 26 February 2024, in Trou-du-Nord, Nord-Est, gunshots were heard on the Route Nationale #3 around Morne Cabrit. There is no information on the circumstances or authorship of the gunshots.",0,1753945649,23757.0,32158.0,44405.0,,1,2024
22,2024-01-16,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Sud-Est,Jacmel,Jacmel,Jacmel,18.2343,-72.5354,SG Alert (Whatsapp),"On 16 January 2024, in Jacmel, Sud-Est, a group of people protested and blocked the Barranquilla Avenue. Although there is no information on the motivation, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1712617340,22100.0,45324.0,90552.0,22100.0,1,2024
23,2024-01-25,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Sud-Est,Jacmel,Jacmel,Jacmel,18.2343,-72.5354,SG Alert (Whatsapp),"On 25 January 2024, in Jacmel, Sud-Est, people protested and blocked roads. Although there is no information on the circumstances of the protest, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti). The report indicates that the police was present, but no specific activity was reported.",0,1712617340,22100.0,45324.0,90552.0,22100.0,1,2024
24,2024-03-27,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord,Cap Haitien,Limonade,Limonade,19.6687,-72.1264,SG Alert (Whatsapp),"Other: On 27 March 2024, in Limonade, Nord, a roadblock was set up on the Route Nationale #6 connecting Cap-Haitien and Ouanaminthe. There is no information on the circumstances of the roadblock of who set it up.",0,1712617340,16523.0,22101.0,45080.0,,1,2024
25,2024-03-27,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord-Est,Trou Du Nord,Trou du Nord,Trou-du-Nord,19.6166,-72.0244,SG Alert (Whatsapp),"Other: On 27 March 2024, in Trou-du-Nord, Nord-Est, burning tires were registered in the morning. There is no information on the circumstances of the barricades or who erected them.",0,1712617340,23757.0,32158.0,44745.0,,1,2024
26,2024-04-02,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord,Cap Haitien,Limonade,Limonade,19.6687,-72.1264,SG Alert (Whatsapp),"Other: On 2 April 2024, in Limonade, Nord, a roadblock was set up on the Route Nationale #6 connecting Cap-Haitien and Ouanaminthe. There is no information on the circumstances of the roadblock or who set it up.",0,1713223315,16523.0,22101.0,41984.0,,1,2024
27,2024-04-02,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Vialet,18.4194,-72.9333,SG Alert (Whatsapp),"Other: On 2 April 2024, in Vialet, Ouest, a roadblock was set up on the Route Nationale #2. There is no information on the circumstances of the roadblock or who set it up.",0,1713223315,4999.0,10885.0,25760.0,,1,2024
28,2024-02-05,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Artibonite,Gonaives,Ennery,Ennery,19.4846,-72.485,Metropole,"On 5 February 2024, in Ennery, Artibonite, residents held a protest demanding the departure of Prime Minister (PM), Ariel Henry. Protesters set up roadblocks on the National Road 1. The protest, which was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1759789823,7675.0,10858.0,18628.0,7675.0,1,2024
29,2024-02-08,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Sud-Est,Jacmel,Jacmel,Jacmel,18.2343,-72.5354,Haiti Progres,"Around 8 February 2024 (week of), in Jacmel, Sud-Est, a group of students held a protest demanding the presence of teachers at schools.",0,1713223316,22100.0,45324.0,77205.0,22100.0,1,2024
30,2024-02-08,2024,Riots,Violent demonstration,Rioters (Haiti),,Rioters only,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,RNDDH: National Human Rights Defense Network; SG Alert (Whatsapp),"On 8 February 2024, in Petit-Goave, Ouest, overnight, people held a demonstration and erected barricades of burning tires. During the mobilization, rioters looted and set fire to a First Instance Court. They also tried to burn the house of a government commissioner, although they did not success. Stones were thrown against the property of a doctor, causing material damages. This is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1713823999,18237.0,49361.0,65619.0,49361.0,1,2024
31,2024-01-16,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Grande-Anse,Corail,Pestel,Carrefour Zaboca,18.4647,-73.9194,SG Alert (Whatsapp),"On 16 January 2024, in Carrefour Zaboca, Grande-Anse,an anti-government demonstration took place on the Route Nationale #7 which was blocked. Five barricades were registered between Duchity and Carrefour Zaboka on that road. Armed individuals were registered near the barricades, but no specific activity was reported. Although there is no information on the circumstances of the roadblock, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1716850485,649.0,3518.0,18194.0,649.0,1,2024
32,2024-01-18,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Grande-Anse,Corail,Pestel,Carrefour Zaboca,18.4647,-73.9194,SG Alert (Whatsapp),"On 18 January 2024, in Carrefour Zaboca, Grande-Anse, an anti-government demonstration took place on the Route Nationale #7 which was blocked with a truck. Although there is no information on the circumstances of the roadblock or who set them up, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1716850485,649.0,3518.0,18194.0,649.0,1,2024
33,2024-01-29,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Grande-Anse,Corail,Pestel,Carrefour Zaboca,18.4647,-73.9194,SG Alert (Whatsapp),"Other: On 29 January 2024, in Carrefour Zaboca, Grande-Anse, a roadblock was registered between the Route Nationale #7 and the Departmental Road 701 (RD-71). There is no information on the circumstances of the roadblock or who set it up.",0,1716850485,649.0,3518.0,18194.0,,1,2024
34,2024-03-01,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Grande-Anse,Corail,Pestel,Carrefour Zaboca,18.4647,-73.9194,SG Alert (Whatsapp),"Other: On 1 March 2024, in Carrefour Zaboca, Grande-Anse, a roadblock was set up on the Route Nationale #7. There is no information on the circumstances of the roadblock or who set it up.",0,1716850485,649.0,3518.0,23587.0,,1,2024
35,2024-03-21,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Grande-Anse,Corail,Pestel,Carrefour Zaboca,18.4647,-73.9194,SG Alert (Whatsapp),"Other: On 21 March 2024, in Carrefour Zaboca, Grande-Anse, a roadblock was set up on Route Nationale #7. There is no information on the circumstances of the roadblock or who set it up.",0,1716850485,649.0,3518.0,23587.0,,1,2024
36,2024-04-03,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Grande-Anse,Corail,Pestel,Carrefour Zaboca,18.4647,-73.9194,SG Alert (Whatsapp),"Other: On 3 April 2024, in Carrefour Zaboca, Grande-Anse, a roadblock was set up. There is no information on the circumstances of the roadblock or who set it up.",0,1716850485,649.0,3518.0,18194.0,,1,2024
37,2024-06-12,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Sud-Est,Jacmel,Jacmel,Jacmel,18.2343,-72.5354,SG Alert (Whatsapp),"Other: On 12 June 2024, in Jacmel, Sud-Est, burning tires were erected in Grand-Rue. There is no information on the circumstances of the barricades or who set them up.",0,1719274848,22100.0,45324.0,77205.0,,1,2024
38,2024-06-08,2024,Riots,Mob violence,Rioters (Haiti),Civilians (Haiti),Rioters-Civilians,332,Caribbean,Haiti,Ouest,Croix Des Bouquets,Ganthier,Fonds-Parisien,18.5072,-71.9773,El Nacional (Dominican Republic); Haiti Progres,"On 8 June 2024, in Fonds-Parisien, Ouest, a mob of residents stoned to death a member of the 400 Mawozo Gang who had been arrested by the Dominican forces and transferred to the Haitian authorities earlier that day. The body of the victim was burned. 1 fatality.",1,1719274849,4677.0,11468.0,19460.0,11468.0,1,2024
39,2024-06-06,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Grande-Anse,Corail,Roseaux,Roseaux,18.6006,-74.0195,SG Alert (Whatsapp),"Other: On 6 June 2024, in Roseaux, Grande-Anse, a roadblock was set up in Gommier. There is no information on the circumstances of the roadblock or who set it up.",0,1719274850,2068.0,2786.0,9823.0,,1,2024
40,2024-01-30,2024,Protests,Excessive force against protesters,Protesters (Haiti),Police Forces of Haiti (2017-2024),State forces-Protesters,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,Haiti Press Network,"On 30 January 2024, in Petit-Goave, Ouest, for the second consecutive day, residents held a protest demanding the departure of Prime Minister, Ariel Henry. As protesters tried to close the entrance of the Port (methods unspecified), police forces used tear gas and opened fire on the crowd to disperse them. At least two protesters were shot and injured. This was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti). At least 2 injured.",0,1753945649,18237.0,49361.0,67303.0,18237.0,1,2024
41,2024-01-31,2024,Strategic developments,Looting/property destruction,Unidentified Armed Group (Haiti),Civilians (Haiti),Political militia-Civilians,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,Alterpresse,"Property destruction: On 31 January 2024,in Petit-Goave, Ouest, a group of armed men broke into the facilities of the National Direction of Potable Waters which also serves to the Ministry of Infrastructure and destroyed two water cisterns.",0,1753945649,18237.0,49361.0,67303.0,,1,2024
42,2024-03-14,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Centre,Hinche,Hinche,Rode,19.1658,-72.0039,SG Alert (Whatsapp),"On 14 March 2024, in Rode, Centre, people, accompanied by members of the BSAP, protested on the road. Although there is no information on the motivation for the protest, this is likely to be part of anti-government mobilizations and calls for the resignation of Ariel Henry that have been ongoing since January.",0,1719876458,1085.0,7878.0,43808.0,1085.0,1,2024
43,2024-02-05,2024,Riots,Violent demonstration,Rioters (Haiti),Police Forces of Haiti (2017-2024),State forces-Rioters,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,Metropole; RNDDH: National Human Rights Defense Network; SG Alert (Whatsapp),"On 5 February 2024, in Petit-Goave, Ouest, residents held a demonstration demanding the departure of Prime Minister (PM), Ariel Henry. Rioters burned tires and erected barricades on Simonds Avenue. They also set fire to the National Directorate of Drinking Water and Sanitation office (DINEPA) and two vehicles belonging to the institution. Police forces intervened and shot and injured two demonstrators. This was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti). 2 injured.",0,1719876459,18237.0,49361.0,65619.0,49361.0,1,2024
44,2024-02-05,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Artibonite,Marmelade,Saint Michel de l'Atalaye,Saint-Michel-de-l'Atalaye,19.3708,-72.3347,Lune Actus; Metropole; SG Alert (Whatsapp),"On 5 February 2024, in Saint-Michel-de-l'Atalaye, Artibonite, residents and armed members of the Protected Areas Security Brigade (BSAP) held a protest demanding the departure of Prime Minister (PM), Ariel Henry. Protesters set up roadblocks on the National Road 1 and used metal welds to block public institutions' doors. The protest, which was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1719876459,11886.0,27654.0,39092.0,11886.0,1,2024
45,2024-01-14,2024,Battles,Armed clash,Unidentified Armed Group (Haiti),Police Forces of Haiti (2017-2024),State forces-Political militia,332,Caribbean,Haiti,Artibonite,Marmelade,Saint Michel de l'Atalaye,Saint-Michel-de-l'Atalaye,19.3708,-72.3347,Haiti Progres,"On 14 January 2024, in Saint-Michel-de-l'Atalaye, Artibonite, an unknown number of armed men attacked a police station (methods unspecified), allowing several inmates to escape. Casualties unknown.",0,1753945649,11886.0,27654.0,39092.0,39092.0,1,2024
46,2024-02-06,2024,Protests,Excessive force against protesters,Protesters (Haiti),Police Forces of Haiti (2017-2024),State forces-Protesters,332,Caribbean,Haiti,Ouest,Leogane,Petit Goave,Petit-Goave,18.4312,-72.8652,RNDDH: National Human Rights Defense Network,"On 6 February 2024, in Petit-Goave, Ouest, for a second consecutive day, residents held a protest demanding the departure of Prime Minister (PM), Ariel Henry. Police forces intervened and shot and injured two protesters as they fired at the crowd. This was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti). 2 injured.",0,1753945649,18237.0,49361.0,65619.0,18237.0,1,2024
47,2024-01-25,2024,Battles,Armed clash,Police Forces of Haiti (2017-2024),Grand-Ravine Gang,State forces-Political militia,332,Caribbean,Haiti,Nippes,Miragoane,Fonds des Negres,Fonds-des-Negres,18.3588,-73.2411,Amerique Info 7; BINUH: United Nations Integrated Office in Haiti; Ordre des Defenseurs des Droits Humains (ORDEDH),"On 25 January 2024, in Fonds-des-Negres, Nippes, police forces killed an unarmed man accused of being a gang member. The killing was described as an extrajudicial execution led by the Miragoane police commissioner, Ernst Muscadin. The police commissioner claimed the victim as being part of the Grand-Ravine gang. 1 fatality.",1,1760402984,4359.0,9911.0,27446.0,27446.0,1,2024
48,2024-07-01,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Sud-Est,Jacmel,La Vallee,La Vallee,18.2694,-72.667,SG Alert (Whatsapp),"On 1 July 2024, in La Vallee, Sud-Est, people protested against the killing of a minibus driver in Gressier the previous day (coded separately) by blocking the Route Nationale #4.",0,1721086506,2005.0,6240.0,26938.0,2005.0,1,2024
49,2024-03-04,2024,Strategic developments,Other,Civilians (Haiti),,Civilians only,332,Caribbean,Haiti,Nord-Est,Fort Liberte,Fort Liberte,Fort-Liberte,19.6637,-71.8367,SG Alert (Whatsapp),"Other: On 4 March 2024, in Fort-Liberte, Nord-Est, roadblocks were set up on the Route Nationale #6. There is no information on the circumstances of the roadblocks or who set them up.",0,1753945649,6830.0,13023.0,23546.0,,1,2024
50,2024-01-21,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Grande-Anse,Jeremie,Jeremie,Jeremie,18.65,-74.1167,Rezo Nodwes,"Around 21 January 2024 (weekend of), in Jeremie, Artibonite, Grande-Anse, residents held a protest demanding the departure of Prime Minister, Ariel Henry. They claimed to support Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1722903295,11769.0,25919.0,42116.0,11769.0,1,2024
51,2024-02-01,2024,Riots,Violent demonstration,Rioters (Haiti),Police Forces of Haiti (2017-2024),State forces-Rioters,332,Caribbean,Haiti,Grande-Anse,Jeremie,Jeremie,Jeremie,18.65,-74.1167,Rezo Nodwes,"Around 1 February 2024 (as reported), in Jeremie, Grande-Anse, residents held a demonstration demanding the departure of Prime Minister, Ariel Herny. On the Source-Dommage street, rioters set up barricades of burning tires and police forces intervened using tear gas to disperse them. Some elderly people, pregnant women, and kids fainted due to tear gas (not clarified if they were taking part in the demonstration). This was part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1722903295,11769.0,25919.0,42116.0,25919.0,1,2024
52,2024-02-08,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Grande-Anse,Jeremie,Jeremie,Jeremie,18.65,-74.1167,SG Alert (Whatsapp),"On 8 February 2024, in Jeremie, Grande-Anse, people held a demonstration and roadblocks were set in the downtown area. Although there is no information on the circumstances of the roadblocks or who set them up, this is likely to be part of anti-government mobilizations called by Guy Philippe (a former police officer, senator, convict, paramilitary leader, and warlord who had called on taking the streets and leading a revolution in Haiti).",0,1722903295,11769.0,25919.0,42116.0,11769.0,1,2024
53,2024-02-17,2024,Protests,Peaceful protest,Protesters (Haiti),,Protesters only,332,Caribbean,Haiti,Grande-Anse,Jeremie,Jeremie,Jeremie,18.65,-74.1167,SG Alert (Whatsapp),"On 17 February 2024, in Jeremie, Grande-Anse, people held a demonstration and roadblocks were set on the Airport Road. Although there is no information on the circumstances of the barricade or who set it up, this is likely to be part of anti-government mobilizations and calls for the resignation of Ariel Henry that have been ongoing since January.",0,1722903295,11769.0,25919.0,42116.0,11769.0,1,2024
